address,description,phone,price,title
"Spencer Road, Harrow, Greater London","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£599,950 ,Guide price","4 bedroom end of terrace house for sale, - "
"Brookdale Road, SE6","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£350,000 ,Offers in excess of","2 bedroom flat for sale, - "
"East Hill, Wandsworth, London, SW18","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£695,000 ,Guide price","2 bedroom flat for sale, - "
"Oakley Gardens, Church Walk, Hampstead, London, NW2","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£845,000 ,Guide price","2 bedroom flat for sale, - "
"Oakley Gardens, Church Walk, Hampstead, London, NW2","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£635,000 ,Guide price","1 bedroom flat for sale, - "
"Oakley Gardens, Church Walk, Hampstead, London, NW2","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£1,100,000 ,Guide price","3 bedroom flat for sale, - "
"Oakley Gardens, Church Walk, Hampstead, London, NW2","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£915,000 ,Guide price","2 bedroom flat for sale, - "
"Oakley Gardens, Church Walk, Hampstead, London, NW2","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£635,000 ,Guide price","1 bedroom flat for sale, - "
"Plot 62.02 at South Quay Plaza, South Quay Plaza E14",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£999,500 ","1 bedroom apartment for sale, - "
"Hayesford Park Drive, Bromley, Kent","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£519,950 ","3 bedroom end of terrace house for sale, - "
"Tenby Avenue, Harrow",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£570,000 ","3 bedroom semi-detached house for sale, - "
"Colney Hatch Lane, Muswell Hill, London N10","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£390,000 ","1 bedroom flat for sale, - "
"Nightingale Road, London, N9",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£414,995 ","3 bedroom terraced house for sale, - "
"The Winery, Regents Bridge Gardens, Vauxhall, London, SW8","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£1,525,000 ","4 bedroom terraced house for sale, - "
"Ben Jonson House, Barbican EC2Y",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£715,000 ","1 bedroom apartment for sale, - "
"The Chapel, Hampstead Manor, Kidderpore Avenue, Hampstead, London, NW3","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021," ,Price on application","5 bedroom detached house for sale, - "
"New Providence Wharf, 1 Fairmont Ave, Blackwall,, London E14","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£685,000 ","2 bedroom flat for sale, - "
"Gillies Street, London, NW5",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£450,000 ,Offers in excess of","1 bedroom flat for sale, - "
"Pattison Road, London, NW2","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£875,000 ,Guide price","2 bedroom flat for sale, - "
"Churchfields Road, Beckenham BR3","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£459,000 ","2 bedroom terraced house for sale, - "
